"No.","Time","Source","Destination","Protocol","Length","Info"
"535","2016-10-07 22:01:24.031311","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=225 Ack=208 Win=3072 Len=0"
"569","2016-10-07 22:01:34.017349","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=224 Ack=208 Win=3072 Len=1"
"620","2016-10-07 22:01:44.219511","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=224 Ack=208 Win=3072 Len=1"
"712","2016-10-07 22:01:49.439213","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"802","2016-10-07 22:01:54.421690","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=224 Ack=208 Win=3072 Len=1"
"896","2016-10-07 22:02:03.028775","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"899","2016-10-07 22:02:03.248520","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=294 Ack=277 Win=3072 Len=0"
"938","2016-10-07 22:02:13.234590","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=293 Ack=277 Win=3072 Len=1"
"1071","2016-10-07 22:02:23.436645","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=293 Ack=277 Win=3072 Len=1"
"1096","2016-10-07 22:02:28.659257","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"1119","2016-10-07 22:02:33.639040","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=293 Ack=277 Win=3072 Len=1"
"1196","2016-10-07 22:02:43.841415","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=293 Ack=277 Win=3072 Len=1"
"1259","2016-10-07 22:02:54.043551","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=293 Ack=277 Win=3072 Len=1"
"1354","2016-10-07 22:03:01.947786","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"1357","2016-10-07 22:03:02.164864","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=363 Ack=346 Win=3072 Len=0"
"1389","2016-10-07 22:03:07.169280","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"1425","2016-10-07 22:03:12.150887","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=362 Ack=346 Win=3072 Len=1"
"1483","2016-10-07 22:03:22.352973","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=362 Ack=346 Win=3072 Len=1"
"1518","2016-10-07 22:03:32.555108","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=362 Ack=346 Win=3072 Len=1"
"1557","2016-10-07 22:03:42.757056","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=362 Ack=346 Win=3072 Len=1"
"1606","2016-10-07 22:03:47.979229","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"1639","2016-10-07 22:03:52.959090","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=362 Ack=346 Win=3072 Len=1"
"1653","2016-10-07 22:04:00.865113","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"1656","2016-10-07 22:04:01.083552","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=432 Ack=415 Win=3072 Len=0"
"1695","2016-10-07 22:04:11.069301","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=431 Ack=415 Win=3072 Len=1"
"1754","2016-10-07 22:04:21.271881","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=431 Ack=415 Win=3072 Len=1"
"1811","2016-10-07 22:04:31.474288","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=431 Ack=415 Win=3072 Len=1"
"1834","2016-10-07 22:04:32.343618","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"1844","2016-10-07 22:04:32.578556","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=501 Ack=484 Win=3072 Len=0"
"1887","2016-10-07 22:04:36.699271","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"1911","2016-10-07 22:04:42.564492","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=500 Ack=484 Win=3072 Len=1"
"1980","2016-10-07 22:04:52.766673","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=500 Ack=484 Win=3072 Len=1"
"2008","2016-10-07 22:05:02.969158","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=500 Ack=484 Win=3072 Len=1"
"2108","2016-10-07 22:05:07.183120","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"2112","2016-10-07 22:05:07.400829","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=570 Ack=553 Win=3072 Len=0"
"2164","2016-10-07 22:05:17.386815","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=569 Ack=553 Win=3072 Len=1"
"2196","2016-10-07 22:05:22.609256","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"2200","2016-10-07 22:05:24.484541","192.168.1.196","52.1.40.122","TLSv1.2","139","Application Data"
"2203","2016-10-07 22:05:24.702165","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=655 Ack=622 Win=3072 Len=0"
"2245","2016-10-07 22:05:34.688205","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=654 Ack=622 Win=3072 Len=1"
"2291","2016-10-07 22:05:44.890411","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=654 Ack=622 Win=3072 Len=1"
"2382","2016-10-07 22:05:55.092531","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=654 Ack=622 Win=3072 Len=1"
"2426","2016-10-07 22:06:05.294527","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=654 Ack=622 Win=3072 Len=1"
"2454","2016-10-07 22:06:10.519232","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"2472","2016-10-07 22:06:15.496521","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=654 Ack=622 Win=3072 Len=1"
"2522","2016-10-07 22:06:23.403165","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"2525","2016-10-07 22:06:23.620719","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=724 Ack=691 Win=3072 Len=0"
"2588","2016-10-07 22:06:33.606543","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=723 Ack=691 Win=3072 Len=1"
"2649","2016-10-07 22:06:43.808646","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=723 Ack=691 Win=3072 Len=1"
"2719","2016-10-07 22:06:54.011085","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=723 Ack=691 Win=3072 Len=1"
"2742","2016-10-07 22:06:59.229276","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"2750","2016-10-07 22:07:01.656830","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"2753","2016-10-07 22:07:01.875426","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=793 Ack=760 Win=3072 Len=0"
"2795","2016-10-07 22:07:11.861388","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=792 Ack=760 Win=3072 Len=1"
"2798","2016-10-07 22:07:12.229039","Physical_00:67:5e","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.196"
"2800","2016-10-07 22:07:12.229097","192.168.1.196","192.168.1.1","DNS","72","Standard query 0x0833 A pool.ntp.org"
"2802","2016-10-07 22:07:12.233800","Physical_00:67:5e","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.196"
"2804","2016-10-07 22:07:12.233946","192.168.1.196","204.2.134.163","NTP","90","NTP Version 3, client"
"2876","2016-10-07 22:07:22.063776","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=792 Ack=760 Win=3072 Len=1"
"2929","2016-10-07 22:07:32.265858","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=792 Ack=760 Win=3072 Len=1"
"3110","2016-10-07 22:07:42.468085","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=792 Ack=760 Win=3072 Len=1"
"3151","2016-10-07 22:07:47.689252","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"3177","2016-10-07 22:07:52.670359","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=792 Ack=760 Win=3072 Len=1"
"3297","2016-10-07 22:08:00.576013","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"3301","2016-10-07 22:08:00.793300","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=862 Ack=829 Win=3072 Len=0"
"3337","2016-10-07 22:08:10.779264","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=861 Ack=829 Win=3072 Len=1"
"3385","2016-10-07 22:08:20.981652","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=861 Ack=829 Win=3072 Len=1"
"3437","2016-10-07 22:08:31.184104","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=861 Ack=829 Win=3072 Len=1"
"3477","2016-10-07 22:08:36.409273","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"3492","2016-10-07 22:08:41.386329","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=861 Ack=829 Win=3072 Len=1"
"3555","2016-10-07 22:08:51.588382","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=861 Ack=829 Win=3072 Len=1"
"3587","2016-10-07 22:08:59.494398","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"3591","2016-10-07 22:08:59.711473","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=931 Ack=898 Win=3072 Len=0"
"3652","2016-10-07 22:09:09.697372","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=930 Ack=898 Win=3072 Len=1"
"3687","2016-10-07 22:09:14.919252","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"3725","2016-10-07 22:09:19.899522","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=930 Ack=898 Win=3072 Len=1"
"4039","2016-10-07 22:09:25.145506","192.168.1.196","52.1.40.122","TLSv1.2","139","Application Data"
"4045","2016-10-07 22:09:25.363240","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1016 Ack=967 Win=3072 Len=0"
"4111","2016-10-07 22:09:30.968495","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"4118","2016-10-07 22:09:31.187728","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1085 Ack=1036 Win=3072 Len=0"
"4206","2016-10-07 22:09:41.173267","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1084 Ack=1036 Win=3072 Len=1"
"4267","2016-10-07 22:09:51.375303","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1084 Ack=1036 Win=3072 Len=1"
"4287","2016-10-07 22:09:56.599285","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"4302","2016-10-07 22:10:01.577430","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1084 Ack=1036 Win=3072 Len=1"
"4415","2016-10-07 22:10:08.053138","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"4420","2016-10-07 22:10:08.271372","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1154 Ack=1105 Win=3072 Len=0"
"4474","2016-10-07 22:10:18.257236","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1153 Ack=1105 Win=3072 Len=1"
"4524","2016-10-07 22:10:28.459308","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1153 Ack=1105 Win=3072 Len=1"
"4546","2016-10-07 22:10:33.679248","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"4568","2016-10-07 22:10:38.661840","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1153 Ack=1105 Win=3072 Len=1"
"4630","2016-10-07 22:10:48.864001","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1153 Ack=1105 Win=3072 Len=1"
"4671","2016-10-07 22:10:59.066521","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1153 Ack=1105 Win=3072 Len=1"
"4710","2016-10-07 22:11:06.972530","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"4715","2016-10-07 22:11:07.189814","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1223 Ack=1174 Win=3072 Len=0"
"4744","2016-10-07 22:11:12.189275","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"4771","2016-10-07 22:11:17.176173","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1222 Ack=1174 Win=3072 Len=1"
"4801","2016-10-07 22:11:27.378729","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1222 Ack=1174 Win=3072 Len=1"
"4861","2016-10-07 22:11:37.581186","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1222 Ack=1174 Win=3072 Len=1"
"4945","2016-10-07 22:11:47.783581","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1222 Ack=1174 Win=3072 Len=1"
"4985","2016-10-07 22:11:53.009212","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"4997","2016-10-07 22:11:57.986031","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1222 Ack=1174 Win=3072 Len=1"
"5006","2016-10-07 22:12:00.286088","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"5009","2016-10-07 22:12:00.504334","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1292 Ack=1243 Win=3072 Len=0"
"5057","2016-10-07 22:12:10.490334","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1291 Ack=1243 Win=3072 Len=1"
"5203","2016-10-07 22:12:20.692810","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1291 Ack=1243 Win=3072 Len=1"
"5239","2016-10-07 22:12:30.895165","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1291 Ack=1243 Win=3072 Len=1"
"5260","2016-10-07 22:12:36.119230","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"5310","2016-10-07 22:12:41.097619","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1291 Ack=1243 Win=3072 Len=1"
"5383","2016-10-07 22:12:51.300077","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1291 Ack=1243 Win=3072 Len=1"
"5487","2016-10-07 22:12:59.206026","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"5490","2016-10-07 22:12:59.423244","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1361 Ack=1312 Win=3072 Len=0"
"5529","2016-10-07 22:13:09.409418","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1360 Ack=1312 Win=3072 Len=1"
"5550","2016-10-07 22:13:14.629244","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"5579","2016-10-07 22:13:19.611835","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1360 Ack=1312 Win=3072 Len=1"
"5606","2016-10-07 22:13:25.819188","192.168.1.196","52.1.40.122","TLSv1.2","139","Application Data"
"5609","2016-10-07 22:13:26.036716","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1446 Ack=1381 Win=3072 Len=0"
"5661","2016-10-07 22:13:36.022916","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1445 Ack=1381 Win=3072 Len=1"
"5720","2016-10-07 22:13:46.225273","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1445 Ack=1381 Win=3072 Len=1"
"5763","2016-10-07 22:13:51.449228","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"5842","2016-10-07 22:13:56.427682","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1445 Ack=1381 Win=3072 Len=1"
"5904","2016-10-07 22:14:06.630013","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1445 Ack=1381 Win=3072 Len=1"
"5965","2016-10-07 22:14:16.832166","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1445 Ack=1381 Win=3072 Len=1"
"6004","2016-10-07 22:14:24.738640","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"6007","2016-10-07 22:14:24.955922","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1515 Ack=1450 Win=3072 Len=0"
"6034","2016-10-07 22:14:29.592222","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"6037","2016-10-07 22:14:29.810165","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1584 Ack=1519 Win=3072 Len=0"
"6039","2016-10-07 22:14:29.959225","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"6082","2016-10-07 22:14:39.796103","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1583 Ack=1519 Win=3072 Len=1"
"6149","2016-10-07 22:14:49.998435","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1583 Ack=1519 Win=3072 Len=1"
"6214","2016-10-07 22:15:00.200825","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1583 Ack=1519 Win=3072 Len=1"
"6335","2016-10-07 22:15:05.419262","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"6350","2016-10-07 22:15:08.909845","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"6354","2016-10-07 22:15:09.127583","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1653 Ack=1588 Win=3072 Len=0"
"6399","2016-10-07 22:15:19.113446","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1652 Ack=1588 Win=3072 Len=1"
"6429","2016-10-07 22:15:29.315808","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1652 Ack=1588 Win=3072 Len=1"
"6481","2016-10-07 22:15:39.518109","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1652 Ack=1588 Win=3072 Len=1"
"6509","2016-10-07 22:15:44.739260","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"6547","2016-10-07 22:15:49.720489","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1652 Ack=1588 Win=3072 Len=1"
"6595","2016-10-07 22:15:59.922729","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1652 Ack=1588 Win=3072 Len=1"
"6638","2016-10-07 22:16:07.830175","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"6642","2016-10-07 22:16:08.047393","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1722 Ack=1657 Win=3072 Len=0"
"6718","2016-10-07 22:16:18.033614","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1721 Ack=1657 Win=3072 Len=1"
"6755","2016-10-07 22:16:23.259245","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"6770","2016-10-07 22:16:28.236142","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1721 Ack=1657 Win=3072 Len=1"
"6810","2016-10-07 22:16:38.438467","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1721 Ack=1657 Win=3072 Len=1"
"6857","2016-10-07 22:16:48.640708","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1721 Ack=1657 Win=3072 Len=1"
"6923","2016-10-07 22:16:58.842962","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1721 Ack=1657 Win=3072 Len=1"
"6924","2016-10-07 22:16:58.898780","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"6928","2016-10-07 22:16:59.116603","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1791 Ack=1726 Win=3072 Len=0"
"6955","2016-10-07 22:17:04.059242","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"7015","2016-10-07 22:17:09.102641","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1790 Ack=1726 Win=3072 Len=1"
"7042","2016-10-07 22:17:11.610295","Physical_00:67:5e","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.196"
"7044","2016-10-07 22:17:11.610355","192.168.1.196","192.168.1.1","DNS","72","Standard query 0x0834 A pool.ntp.org"
"7046","2016-10-07 22:17:11.615263","Physical_00:67:5e","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.196"
"7048","2016-10-07 22:17:11.615408","192.168.1.196","202.127.210.36","NTP","90","NTP Version 3, client"
"7093","2016-10-07 22:17:19.305002","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1790 Ack=1726 Win=3072 Len=1"
"7123","2016-10-07 22:17:26.485166","192.168.1.196","52.1.40.122","TLSv1.2","139","Application Data"
"7126","2016-10-07 22:17:26.702719","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=1876 Ack=1795 Win=3072 Len=0"
"7175","2016-10-07 22:17:36.688802","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=1875 Ack=1795 Win=3072 Len=1"
